"year_id","region_name","regional_unemployment","national_avg_unemployment","deviation_from_avg"
2023,"Sicilia","15.80","7.6000000000000000","8.2000000000000000"
2023,"Puglia","11.60","7.6000000000000000","4.0000000000000000"
2023,"Sardegna","10.10","7.6000000000000000","2.5000000000000000"
2023,"Molise","9.60","7.6000000000000000","2.0000000000000000"
2023,"Abruzzo","8.10","7.6000000000000000","0.5000000000000000"
2023,"Basilicata","7.50","7.6000000000000000","-0.1000000000000000"
2023,"Lazio","7.20","7.6000000000000000","-0.4000000000000000"
2023,"Piemonte","6.20","7.6000000000000000","-1.4000000000000000"
2023,"Liguria","6.10","7.6000000000000000","-1.5000000000000000"
2023,"Umbria","6.00","7.6000000000000000","-1.6000000000000000"
2023,"Toscana","5.30","7.6000000000000000","-2.3000000000000000"
2023,"Marche","5.20","7.6000000000000000","-2.4000000000000000"
2023,"Emilia-Romagna","5.00","7.6000000000000000","-2.6000000000000000"
2023,"Friuli-Venezia Giulia","4.60","7.6000000000000000","-3.0000000000000000"
2023,"Veneto","4.20","7.6000000000000000","-3.4000000000000000"
2023,"Valle Aosta","4.00","7.6000000000000000","-3.6000000000000000"
2023,"Lombardia","4.00","7.6000000000000000","-3.6000000000000000"
2023,"Provincia Autonoma di Trento","3.80","7.6000000000000000","-3.8000000000000000"
2023,"Provincia Autonoma di Bolzano","2.00","7.6000000000000000","-5.6000000000000000"
2024,"Campania","15.60","6.4714285714285714","9.1285714285714286"
2024,"Calabria","13.10","6.4714285714285714","6.6285714285714286"
2024,"Sicilia","13.00","6.4714285714285714","6.5285714285714286"
2024,"Puglia","9.30","6.4714285714285714","2.8285714285714286"
2024,"Sardegna","8.30","6.4714285714285714","1.8285714285714286"
2024,"Molise","7.90","6.4714285714285714","1.4285714285714286"
2024,"Abruzzo","7.10","6.4714285714285714","0.6285714285714286"
2024,"Basilicata","6.70","6.4714285714285714","0.2285714285714286"
2024,"Lazio","6.30","6.4714285714285714","-0.1714285714285714"
2024,"Liguria","5.40","6.4714285714285714","-1.0714285714285714"
2024,"Piemonte","5.40","6.4714285714285714","-1.0714285714285714"
2024,"Marche","5.10","6.4714285714285714","-1.3714285714285714"
2024,"Umbria","4.80","6.4714285714285714","-1.6714285714285714"
2024,"Emilia-Romagna","4.30","6.4714285714285714","-2.1714285714285714"
2024,"Friuli-Venezia Giulia","4.30","6.4714285714285714","-2.1714285714285714"
2024,"Toscana","4.00","6.4714285714285714","-2.4714285714285714"
2024,"Valle Aosta","3.90","6.4714285714285714","-2.5714285714285714"
2024,"Lombardia","3.70","6.4714285714285714","-2.7714285714285714"
2024,"Veneto","3.00","6.4714285714285714","-3.4714285714285714"
2024,"Provincia Autonoma di Trento","2.70","6.4714285714285714","-3.7714285714285714"
2024,"Provincia Autonoma di Bolzano","2.00","6.4714285714285714","-4.4714285714285714"
